,id,Type,Region,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.power,tags.source,name,tags.alt_name,other_tags,geometry,Country
30826,9458224191,node,TR,wind_turbine,5.0,wind,horizontal_axis,generator,NULL,Evrencik RES Türbini,NULL,"{ ""tags.operator"": ""Evrencik Rüzgar Enerjisinden Elektrik Üretim Anonşm Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.746335 41.67899429999988),TR
30827,9458224192,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.728415300000012 41.66613319999988),TR
30828,9458224195,node,TR,wind_turbine,5.0,wind,horizontal_axis,generator,NULL,Evrencik RES Türbini,NULL,"{ ""tags.operator"": ""Evrencik Rüzgar Enerjisinden Elektrik Üretim Anonşm Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7617001 41.673755899999875),TR
30829,9458224196,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.72858290000001 41.64579079999987),TR
30830,9458224197,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.743193 41.64288189999987),TR
30831,9458224199,node,TR,wind_turbine,5.0,wind,horizontal_axis,generator,NULL,Evrencik RES Türbini,NULL,"{ ""tags.operator"": ""Evrencik Rüzgar Enerjisinden Elektrik Üretim Anonşm Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7271715 41.67607099999987),TR
30832,9458224203,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7621772 41.658034899999876),TR
30833,9458224204,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7269408 41.671246499999874),TR
30834,9458224207,node,TR,wind_turbine,5.0,wind,horizontal_axis,generator,NULL,Evrencik RES Türbini,NULL,"{ ""tags.operator"": ""Evrencik Rüzgar Enerjisinden Elektrik Üretim Anonşm Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7639267 41.68153649999987),TR
30835,9458224208,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7449491 41.654319099999874),TR
30836,9458224209,node,TR,wind_turbine,4.0,wind,horizontal_axis,generator,NULL,Vize-2 RES Rüzgâr Türbini,NULL,"{ ""tags.operator"": ""Karayel Elektrik Üretim Anonim Şirketi"", ""tags.frequency"": ""50"" }",POINT (27.7445302 41.63823829999988),TR
